,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10
RNA__AL035681.1,0.16751970271298275,-0.03497584691115199,-0.568947545873655,-0.6529978954795108,-0.09865385289350982,-0.40552855915619695,0.03745197615190635,0.09673453527307282,0.009857159457881784,0.0024364809698289966
RNA__AL035701.1,0.03707644037656744,0.06308412724502768,-0.3719838148951769,-0.32598197791674455,-0.2618666592757324,0.03142781820986784,0.05739690192738863,-0.4119463340190491,0.5901482876357916,-0.0018761901869310364
RNA__AL049555.1,-0.24763934876125376,0.0474323508802873,0.2823837088076748,0.1751025156529692,-0.11581918564917802,0.026086217642133452,0.017472575572727175,-0.17173193326982514,-0.10429237257616726,0.0002903128608455494
RNA__AL049597.2,-0.03553076734818242,0.3086791484228669,0.19156544789280258,0.3043208222422944,-0.06862078204535038,-0.3312579849720388,0.27832042434466525,-0.050214524689249446,0.6479579500571665,0.005899969243733542
RNA__AL049634.1,0.2309274146018108,0.24450644942719127,0.35735285292365776,0.16130183463969608,-0.05347507197944059,0.07817439880858193,0.04357062476963275,-0.9792342311074009,0.6027087051466006,0.004795235501959979
RNA__AL049830.3,-0.2765808733294543,0.08736798013906304,0.1849686694908129,-0.36269047128360027,-0.08029967939478014,0.08409404085706243,-0.12680075646859232,-0.31851581942740737,-0.24964980378412466,0.0020896982739377237
RNA__AL049838.1,0.16808681557138308,-0.003278638861038783,0.09175736086339176,-0.49036906203147895,-0.3856802274801519,0.6695700042134864,0.11250011079037524,1.1539378965491278,-0.5109079891691032,0.006492048286218608
RNA__AL049840.5,0.18861375680895004,0.2757484316675097,-0.2001585725498044,-0.2420859653265856,0.14494843083929715,-0.0031261310079913527,0.2154999622309314,-0.2525216525939956,-1.09458056714376,0.0023965721032073416
RNA__AL049844.2,-0.20704400891631516,0.2590581692571673,-0.17712461271556337,-0.21155179067396795,0.021274788276334885,-0.003692370007063676,-0.05509062315877382,-0.7944156717824234,-0.5017579653040265,-3.8653165718756464e-05
RNA__AL050341.2,-0.08258594318403605,0.32652356103042474,-0.20142317814864275,-0.4592749324753092,0.06285820898961814,0.1995925694465169,-0.5136994872502975,0.38718270854623676,-0.5999307544546949,0.0003617013767680126
RNA__AL078581.1,0.2099515052797385,0.22791431512366989,0.03774013362803383,0.1374588193491287,0.07960397367214175,-0.0528130242732679,0.010448619285237755,0.02306246581610987,0.1927284313717123,-0.0019440745053466372
RNA__AL078604.2,-0.00611047344125065,-0.0004350944308920576,0.2652536090266224,-0.1910925002331967,0.06286973422426807,-0.22263486041551342,0.25917135880129044,-0.34139020862628167,0.35763059671192043,-0.001804859203084907
RNA__AL078621.3,0.14917327668766614,0.33245463875122233,0.04286680423722023,-0.20693905535346754,-0.13915805065157036,0.05080138671582567,0.07422322408722555,0.023805440639520403,-0.20508480945773616,0.0029622313046737407
RNA__AL078644.1,-0.35662001458776665,0.07486895713538526,0.1908764906232796,-0.31818312365682994,0.06922253907175097,0.2621783802990848,-0.42730769666577056,-0.03123380615214836,-0.174946740154967,0.010944067325016146
RNA__AL079303.1,-0.3021019480132597,0.11074518150864515,-0.055023988274018776,-0.3929296279513634,-0.0774244422122821,0.019357742223776987,-0.04512791305994659,0.7767682108905644,-0.2981649550649739,-0.0008179090354215002
RNA__AL096711.2,0.35688802205794945,0.28204544049924996,-0.30276655263549096,0.03379642231076145,0.13334216622569847,0.5186896528734938,0.14392969632042565,0.25444253614302764,0.5497394934966499,-0.010127084683767124
RNA__AL096816.1,0.042768700607255336,0.3621398717169993,0.0017321583344675755,-0.3216184135672232,-0.1335944045709951,-0.040888070960991854,0.046594773100896006,-1.6039369530320682,-0.6774771055782876,0.004761342897221281
RNA__AL096865.1,-0.30593202002163006,0.16024844087484766,0.21059444312325407,-0.14594509137044034,-0.04043156063501606,0.27383226036738334,0.042305660060804044,-0.1979360557417788,-0.882774306084039,-0.0050122980933695205
RNA__AL109613.1,-0.20626780379085125,0.18492396580615814,-0.4300897430087017,-0.22345722921757868,0.18444852586696728,0.5804947323856373,0.2522978916471821,0.10427126306350351,0.19352051816036595,-0.011184806357542414
RNA__AL109614.1,-0.23210201856490423,0.23264459649341085,-0.2448966587217837,-0.09641157247955574,0.02763781014474942,0.00888930216062935,0.12718673305308847,-0.7960560395325893,-0.2692547336064788,-0.00491904785074115
RNA__AL109615.2,-0.15687471688770796,-0.06301659328472975,0.17405746807923458,-0.05082165718710451,0.05306796617483467,0.02344796189361869,-0.27257664616070365,0.301937364369793,-0.2513054900211748,0.0012873482816260493
RNA__AL109615.3,-0.2877316201032292,-0.04098215407422455,0.16992667533303785,0.10518351556056899,0.05730594271125279,-0.6081548147319953,0.008427548918628118,0.1374466726706217,0.039891448584295386,0.0092942345138377
RNA__AL109659.2,0.25997677768588034,0.14977050380238774,-0.38596350502938764,-0.693024331205923,0.023134818893529953,0.30307557212406744,-0.2105317602594636,0.35635029351146513,-0.5232798893475468,-0.007789912839406457
RNA__AL109741.1,0.2568789031269085,0.1306423510183142,0.15774882392253625,-0.030543295949067423,-0.006675765299601146,0.008926588971423096,0.6325648426644919,-0.5572419500641351,0.34434435255856727,0.0012333142287236532
RNA__AL109811.2,-0.33249196211426213,-0.12817657095841006,0.1873966691153088,-0.08466016483166743,0.13582502347928985,-0.029978600176438355,-0.09395336212216679,0.1585559378566707,0.012880028018515711,-0.005531309822871372
RNA__AL109918.1,-0.23090523967815274,0.3776876740991339,0.04042763009560203,-0.08225263060879572,-0.1849941252196148,-0.02178052512103846,-0.2019384971704354,-0.020548593521143448,-0.41141423733832305,-0.0026345977231780615
RNA__AL109936.2,0.13817029140335568,-0.05967509911893431,-0.6015114572173392,-0.4821279921068743,-0.05157724655579366,0.2048315881029,-0.5434627049704045,0.28959008560365307,-0.03223344731583761,0.003511230720411676
RNA__AL117328.1,-0.1532154142419662,0.0028426908960337235,-0.12005010523733581,-0.10403858747111988,-0.1890160498051594,0.3084343960769639,-0.1463281577343517,-0.266668086782192,0.13963734194092342,-0.0016247430275194588
RNA__AL117332.1,0.23737989532399867,-0.14654943827121183,0.3502192827700602,-0.21327296125690073,0.23720918020851328,-0.26442969331008537,0.18278873686288155,0.06326021888586839,0.5041996042257586,0.00013310098229541472
RNA__AL117336.2,0.20732898567628635,0.27731647643853286,0.13712828220782158,0.0822850959397637,-0.17018057202786668,0.018391172842687747,-0.10892233803769735,-0.26630878914055206,-0.4117411888748876,0.0018403668105806787
RNA__AL117348.1,0.3327775192203905,0.08586862059699837,-0.31163815768403863,-0.36113872740384184,-0.21639087870766638,0.6595267202145845,0.03984210993161717,0.15679277447149537,0.04548622878181147,-0.0019508182538965943
RNA__AL118505.1,-0.3351675415528289,0.18732688628952285,0.008828018967047243,0.13305666163968366,0.04157082367762487,0.05324549472891045,0.0967226543489972,-0.36973324338082403,0.023190677021039587,0.0012846021928518431
RNA__AL118506.1,0.04411257393613532,0.13869442686993014,0.26318734181815545,-0.2629621298663786,-0.009262626041497343,-0.007889777634592837,0.22519323021527476,0.0681160905633493,0.620622745310001,-0.004965752630102435
RNA__AL118508.4,0.3133554974885476,0.16166823227904398,0.24753989593262649,-0.2335917396307869,-0.32556144178628044,-0.08936770803843026,0.3036660596082697,0.1290338707707551,-0.4052724919211096,-0.006372396374833139
RNA__AL118516.1,-0.1010301130178371,0.010569416656853185,0.0555346995272894,-0.4830331024746158,-0.11116687473480322,-0.16620408105712947,-0.4202693838786263,0.9684783868010712,0.1591165302916771,-0.0021638408365965076
RNA__AL118558.3,-0.06606602108144,-0.11049985158299315,-0.13999793535344324,-0.3000582191018502,-0.21704977609908666,-0.057551277162273616,-0.050743719805853356,0.29582258641797887,-0.4583611055997661,-0.0013427074890279443
RNA__AL121601.1,0.07799802374279988,-0.16054384799954416,-0.05118098484242196,-0.24576010607715212,-0.08883283745196244,-0.023634132792153758,-0.27978143752506773,0.0700533220057459,-0.17024380800105032,0.0019059326331108903
RNA__AL121603.2,0.063762863756708,0.37303197729143694,0.06592967088789678,-0.2865736248655019,0.16279744183301798,0.31232830829392644,-0.142792172297475,0.7148039223986586,0.939401843270773,0.004281489447045506
RNA__AL121655.1,0.31415738498880663,0.006993763510061035,-0.12906811534055979,-0.08247328433947541,-0.059437126485771714,-0.09830443434407467,-0.08416687040731645,0.33068094069838583,-0.6174815774810916,0.00399435782030655
RNA__AL121748.2,-0.08973665994869934,0.16854739956472464,0.011781165993947532,-0.057379091980799476,-0.09000224016217898,0.6703219705637737,0.20951510719739208,-0.1293175317055773,-0.33291945209627716,-0.0017428696627520136
RNA__AL121753.2,0.2551787023411789,0.2753828757948351,-0.014021052755940814,-0.48570671482463573,-0.11592551440253926,-0.016119352708464086,-0.0036615012703222647,0.7081363870801469,-0.10092596472617345,-0.0030214680634607373
RNA__AL121772.1,-0.26600533927410674,0.153145075168006,-0.08304594938524104,-0.06998567596341632,-0.16178045260206525,0.043060317519610695,-0.0904971788228055,-0.25569539893923005,-0.20650205431069138,0.006114262796532406
RNA__AL121772.3,0.2970666643127062,0.10319462278809599,-0.040696257897632176,-0.4390289306389978,0.1491515192743702,-0.03621614339823226,-0.08439212069175779,-0.05179368733618889,-0.22691559535259645,0.004680339646642912
RNA__AL121820.2,-0.22661523272416523,-0.2446433591619304,-0.18307395601919108,-0.06004338334690767,0.17924626560650259,0.16316865834368047,0.10421143371467885,0.27580751002152565,0.11475848936909634,-0.000709866830095443
RNA__AL121832.2,-0.22822322224817063,-0.14374933013127755,0.15822643481932913,-0.7606540216605086,-0.23878542175680187,-0.19278531048312514,-0.2737308142646612,0.15834164140822304,-0.14227348651028832,-0.001423852943937866
RNA__AL121839.2,0.1047824960227076,0.29375781248970906,-0.32274021002774356,-0.5904011210294097,-0.15860041837599292,-0.1767272729940436,-0.7226238958880141,0.341578730565004,-0.16063258569017905,-0.0034031321504866974
RNA__AL121894.2,0.1926747074992829,-0.004643087235360117,-0.12151546393032642,-0.03447243856732008,-0.09513229180633519,-0.13216074500348882,-0.10316370773936795,-0.5745045287995281,0.1900376985063335,0.0019364930967283639
RNA__AL121895.2,0.24347418005900776,0.023650021330401703,-0.030637165839734005,-0.1841527093040579,-0.11768174309284626,-0.03995587931778756,-0.28617585076874813,-0.026220296978368356,-0.28242793272627237,0.0027274917078966405
RNA__AL121899.1,0.10369078960037799,-0.2565967221401108,0.05675302929872149,-0.3123987564978372,-0.09728927790740462,-0.060700719806057166,-0.015551621421123894,0.01611990877785429,0.6543572391239795,-0.006903249742819914
RNA__AL121906.2,0.05073170049529568,0.10913265277837923,-0.08012786209613673,-0.6036478789608025,0.07165936337834002,-0.42922964654925505,0.03267674232497423,0.06354549476163512,-0.03144608906926256,-0.004113529899325288
RNA__AL121944.1,0.18513418151778077,-0.11267182913922334,-0.04533507942118728,-0.5603293315182135,0.0978751251026131,-0.23376445495188716,-0.11129416225566129,0.020188329573826217,0.7089354538299725,-0.0014772894839079663
RNA__AL121987.2,0.0007946149862216521,0.4651868992955477,-0.2033970618476936,-0.45323867466593565,-0.041554215863344374,-0.08102008665130928,0.24564792261451884,0.005457258383481286,-0.06006843504429265,0.002898785329685014
RNA__AL122035.2,0.008920823431457182,0.3030183578120427,0.05586663211586407,-0.5768909444777377,0.23941699944611544,0.11217788465542439,0.13732106777333983,0.9602083724601249,-0.49376615772342486,0.004784926956605004
RNA__AL132639.2,-0.26346215579420307,0.01677053882932657,-0.309681140394986,-0.003716249326447816,0.013527155635906507,-0.18824303818870966,0.16241497365876667,0.32913308823142723,0.1863122030252024,0.0031668236289113033
RNA__AL132656.2,0.3525786617996131,0.15402734902835646,-0.10240709723323682,0.15461180888566206,-0.22227558098307645,-0.16386685203300322,-0.4684028299341399,0.00023201673380824148,-0.4940558543520983,0.010457926032290694
RNA__AL132656.4,0.06865697062444863,0.44961069910369783,-0.016694713453887133,0.23541290127578982,-0.11216816982449715,-0.04267517874733525,0.27558096883174893,-0.027268934761900048,-0.01249213855127953,0.000498186110438544
RNA__AL132657.1,-0.012906903341000777,0.5400594889687933,-0.16790954523365195,0.13010435757368433,0.13666835797687038,-0.12918015624928234,-0.016354485130113915,0.2851102106667135,-0.08143173621600813,0.004112904436089248
RNA__AL132780.4,0.14349448433865278,0.33238788024502747,0.07241833722830372,-0.5633006610483497,-0.11784757082265745,-0.013860707407987697,-0.12199595024396898,0.795017177261748,-0.46063828156558806,-0.0005370673086567251
RNA__AL132857.1,0.15556047506223128,0.2205011341270016,-0.5235912324713005,-0.44773143548355865,0.0037504203042392934,0.6306647776637991,-0.5386311623640528,-0.023801914550612233,0.5775795390690418,0.0033364092932784994
RNA__AL132857.2,-0.2779377538447797,-0.005282361127518915,-0.34205864503198685,-0.37558539919998735,0.08093211416347271,0.15178434016126544,-0.1126381565782444,0.7186175045274813,0.051884095746658275,-0.0009749304070210502
RNA__AL132989.1,-0.06771473615933525,0.44104671326577394,-0.10587891565427579,-0.47902278432265444,0.3113380145958837,-0.0726490344949538,0.2867182892897343,-0.23356917866253946,-0.7097159596336391,-0.0035138830414822063
RNA__AL133216.2,-0.12950658609188034,0.15003979710363127,-0.33760489961548984,-0.1915675525651209,-0.01702072921842848,0.04153666196162047,0.27642278740614906,-0.12649525480498636,0.39075698813352194,-0.004600456026379601
RNA__AL133243.2,-0.08952928253862004,0.2962239570242796,-0.1614205294639179,0.005442854030543184,-0.014755731442809839,0.15587910776043953,-0.011656815046803755,0.7603923483845646,-0.9595310078684609,-4.49270339211356e-05
RNA__AL133268.1,0.11366093855429936,0.3505276546984515,0.019752971836706372,-0.302180027860031,-0.12400768515072934,0.17481539661834766,0.05123103605900949,-0.12071514402354822,-0.004865943229969949,-0.0032616460275362667
RNA__AL133268.4,0.24469069234492058,0.12882847023254862,0.2648149480406162,-0.3884916112007341,0.020561615285709017,0.01890423892446973,0.2670496647492483,0.21645451915871813,0.32787214534323655,-0.0002675150462080473
RNA__AL133330.1,0.0661737650975292,0.3332079436993329,0.056558387105164795,-0.03549531926556059,0.20856932331889405,-0.24764348224841598,0.14747717346227415,-0.6339283591938436,-0.005753809302325265,-0.0006067732367264724
RNA__AL133338.1,-0.21920518879402812,0.198568947788109,0.0028011295305402223,-0.37473045555195633,0.12435826454517493,0.05337070908886314,-0.138687936542933,0.5924568149510941,-0.043068409545672065,-0.00017809666924470066
RNA__AL133353.1,-0.16547857632961696,0.4659512074733353,-0.024202899166429974,0.2911082995265633,0.03687197943359486,-0.09174915984558588,-0.17342268733192048,-0.5290290468013554,0.49181825033149307,0.004220288886605956
RNA__AL133367.1,0.08835076138319155,0.3747081304095266,-0.2882794989901486,-0.7700674251497375,-0.16637327610334773,-0.11423867831983775,0.39566383094669505,0.14402887894872085,0.07324104046792018,0.004465810744824036
RNA__AL133371.2,-0.10265144588413583,0.24923633483008809,-0.0658801158633208,-0.09536390061744787,-0.2477879427571724,0.3370752948543082,-0.018934089937032328,-0.49003931430143294,-0.2002422976591395,-0.00046339276890625174
RNA__AL133375.1,-0.19554071174294985,-0.21858169639390182,0.006859691490810134,-0.5042677842646917,-0.20810007255798038,-0.07955489842727145,-0.7809063407871238,-0.4111529950871504,-0.06364717075871155,-0.0009306981513805069
RNA__AL133467.1,-0.08362617803945172,0.04784062575130606,0.20729756767109184,-0.2634279571242809,-0.31180631126717506,-0.5215251406695622,-0.32184974446632364,-0.9826563233980734,-0.3567118011090446,-0.004870371432852261
RNA__AL133520.1,0.2109896695501651,-0.011642881886781233,0.03644046547327438,-0.2766108543590018,-0.06861177123059932,-0.04306929627362407,-0.3520731689437887,0.16190617897692997,0.31929092888159066,0.0034966049588401973
RNA__AL133523.1,-0.1497210169772561,0.08832181245159115,0.24962450363810856,0.09748740122219286,0.29867502433439114,-0.044503133521395156,0.12903572509533093,0.594997912142306,0.3041346200278929,-0.0013648297615115772
RNA__AL135818.2,0.1084563770689877,0.21728028278745806,0.06174629921288261,-0.22615188390692062,-0.05605774640674332,0.32544824663019867,-0.10805790071835061,-0.6282632474070537,-0.20787159875397493,0.001089422054705213
RNA__AL135905.1,-0.11846988107556736,0.143203280842003,-0.3328028851314253,0.04698797189746705,0.11436865219793516,-0.274814037600487,0.1812318006793469,-0.32379650395069204,0.37100859653190355,-0.007037491673460825
RNA__AL135925.1,0.3188394302324963,0.19403606965424983,-0.01400637242920125,0.0278603264248694,0.18878658268867984,-0.17460464852595403,0.37606553264104553,-0.03621226574178576,0.6252337695988588,0.00964960938818662
RNA__AL135960.1,0.40532989151900073,0.19326735181571159,-0.02278084694979896,-0.33252318790696317,-0.1444719071952133,-0.014266745831833587,0.5150431188932748,-0.15413715085455643,-0.05242055110295029,-0.0027488631463366726
RNA__AL136040.1,-0.20373772972233062,0.0788279780856643,0.012143456101882999,-0.09992615363954283,-0.005535962646583932,-0.049566862699412656,0.03289040305615069,0.02585627071444477,0.051879461956501706,0.00019716098522383705
RNA__AL136084.3,0.1305825729512973,-0.05066064816489879,0.2827658559799356,-0.11165788785448477,-0.007123783935841873,0.1415125223953738,0.38053792581562934,0.08055774341905242,-0.3890435560471973,-0.0013784260788332393
RNA__AL136164.4,0.39404471119905576,0.198925675987332,0.05220336810066932,0.03503193962724154,-0.33338793818443446,-0.1941444853159261,-0.13448707469536078,-0.043199939801177194,-0.3352202882388524,-0.010661447616189068
RNA__AL136295.2,0.23720152590300594,0.16731182320998736,0.03472026051348793,-0.7176891088786789,0.07941738895059997,-0.0950283204037821,-0.25855427212023524,-0.11498037178312462,-0.8958016994454701,-0.001434687678023211
RNA__AL136295.6,-0.08721572768667496,0.052628274499621326,-0.15034675711812875,-0.5407174095934801,0.13190593860359814,-0.062259473407970514,-0.33465038727922825,-0.16824281604877672,-0.9624158273269325,-0.0019270138090231846
RNA__AL136304.1,0.1357403313297421,0.15392289632896156,0.0625144738062114,-0.5780067339906652,0.0013382131886946129,-0.3217690551875149,0.0013655467370702625,0.2627200647878998,-0.2884035644252099,-0.004915627825637259
RNA__AL136366.1,0.08948047211870888,0.1456457658465902,-0.06343168848014417,-0.30575802324366147,-0.07090650785546124,0.09262254393477576,-0.19370190918733235,0.38265541144680904,-0.8581153497499954,-0.0027376933436725277
RNA__AL137009.1,0.14908551304682666,0.24456329356681478,-0.3379590883835371,-0.18518102408338633,0.07388368329245631,-0.05431997253127734,0.0722008865910923,-0.8567639971081935,0.4318414950999576,-0.000450001354401203
RNA__AL137026.1,-0.07596099200547499,0.05909188122747861,-0.3778470486638225,-0.5042966484267615,0.05290750081567104,0.3873415615337662,0.017252908572268102,0.16827405103867382,0.2196795953042741,-0.0001458458047909431
RNA__AL137077.2,0.11667526857990147,0.0029973634632605222,0.11165840324232007,-0.7895399078127809,0.18504192610178005,-0.013401947920806082,0.1371805950811973,0.993972862731969,-0.26449028333802355,0.001353456420639379
RNA__AL137127.1,-0.19410007974853707,0.482055451092789,-0.15796987024735623,-0.15540102265958705,0.07117625162761315,0.05399566302257816,0.4832535629273263,-0.6082969956815023,-0.07979945824384792,-0.007770714771949191
RNA__AL137186.2,0.3531136305187382,0.09979832406955792,0.4234286400610358,-0.09921864051662176,-0.46966444935077006,-0.4668401464916487,-0.013112047741532932,-0.9202427619006599,-0.0344489658861936,-0.001876723104642475
RNA__AL137779.2,0.04088684593949323,0.07686314130796638,0.19896953601719702,-0.2503043153193326,-0.17809653132825287,-0.0382185692721597,0.1741896107316918,0.4147863874089373,-0.22673703563811595,-0.004299119810175855
RNA__AL137784.2,0.12215576756778652,0.0813652807659401,0.06349553542200165,-0.595747815638398,0.16486930308349856,0.0809640024222344,-0.2813351118104851,0.19449030096993894,-1.0874019845775251,-0.006976305136902745
RNA__AL137793.1,-0.18848010665074047,0.05410204550158931,-0.07069207028314023,0.031080453502002326,-0.02952615797542463,0.14359049827521575,-0.2706104580595224,0.4824849565345153,0.1279285149771788,0.0015807619638860142
RNA__AL137802.2,-0.08456321627275322,0.030314189436841832,-0.5014346544968602,-0.5911291874681557,0.021350449235241382,0.06712099821850474,-0.18248083541005639,0.1714775204348714,-0.5855463897361,-0.0017463664920071998
RNA__AL138689.1,-0.02374408973374957,0.10788327341293678,0.10518134817896052,0.14750000763501,-0.08234238927846337,0.3286694603686963,-0.14609515888920407,-0.43001878010936717,0.18893585953623293,0.00462540175665981
RNA__AL138721.1,0.18211888608709093,0.1978252641814469,-0.07040538052289858,-0.14519903896731984,0.020554792543353458,0.07920994500308626,0.4549089602799523,-0.05794057892311635,0.03978626152855877,-0.002504869590413666
RNA__AL138724.1,-0.11969838957991791,0.36356728605692545,0.5651916134711074,0.010499970015986619,0.1811458995981587,-0.04931006325228482,0.3554172705906097,-0.06084629263339712,0.6097930990321879,-0.004250287409908106
RNA__AL138781.1,0.11488844891384896,0.04621240070364979,0.11800018114633615,-0.690984639262377,-0.07446130640981401,-0.35779655365593405,-0.5587122543016018,0.20460641145307354,-0.0597572257969583,0.00048037388641605105
RNA__AL138831.3,-0.09410128524217937,0.2353903557124979,-0.11683632883219894,-0.5756396959850187,-0.2713499702316691,-0.09169449313101,-0.5206676792992173,0.20593873296363957,-1.4594786563821833,-0.004258126655720164
RNA__AL138976.2,-0.008929886156113358,0.004003544980021231,0.1159841966418592,-0.10120268862732787,-0.22472317084794155,-0.0007083933228560485,-0.2770670166113482,0.6196069989270133,-0.8545920864938207,-0.0019935416164879147
RNA__AL139089.1,-0.017333105008184285,0.18096083384898862,-0.2671693537156278,-0.380464591838112,-0.08211750344636122,-0.045025319733222914,-0.5223890633625679,0.06326907224583564,-1.3396040176821669,-0.0030548703782493697
RNA__AL139099.1,-0.3155334719001021,0.0016182397666732575,0.06254589193155555,0.21368337817074354,0.09987737770772816,0.027154176130117922,-0.27187480556893795,0.08473748533966804,-0.38889538262868145,0.007348227973242516
RNA__AL139099.3,-0.09725380208375431,-0.08053537906672263,0.014614322446786792,0.2236991188474966,0.05335769364295992,0.011561241900559124,-0.00016917746063077694,0.0142410666411632,0.00799138000569616,-1.1875929239014214e-05
RNA__AL139125.2,-0.29653476526067185,-0.019788348442964374,0.1743669115298934,-0.010213647921471319,-0.10314743918470692,0.00032673003612589216,-0.11186801145054347,-0.8863923175883077,-0.20947667932890013,-0.0018344967013216272
RNA__AL139156.2,0.16839299508447367,0.061947286949646414,0.03237791114722379,-0.11413792619457835,0.02261588675186552,-0.14397778620183116,-0.0908760472072581,0.07022067960505114,-0.12733814943142352,-0.0011334240036644848
RNA__AL139246.5,0.12365025522975082,-0.1903389112691612,0.20869538455335998,-0.7532258111848497,-0.0415707362645289,-0.2873479916196701,0.060292712687986603,-0.07798300446404961,0.5414830643725356,0.005075676170176725
RNA__AL139289.1,-0.2870865623039355,0.3369893328244873,-0.09952991469363161,-0.09376954167914751,0.10483728881478006,-0.0490017606887572,0.26944500235228913,0.10469602577880137,-0.2671083930423911,-0.0032196804536482574
RNA__AL139289.2,-0.14327031334039728,0.1939688535145455,-0.31051993431215097,-0.6418546030947168,0.09240666053156221,0.3075917084378928,-0.8559369537248673,-0.4450478436426757,0.6767515501195106,0.0042962539646241955
RNA__AL139300.2,0.3226704961371515,0.06820370680066039,0.24330860865036957,-0.6262506479163913,0.06360105811957287,0.007441671622677607,0.04088112404684107,0.719500009134982,0.07716008289798851,-0.00026021100221494247
RNA__AL139393.2,0.10879435113104878,0.1507198926014068,0.40482677860632665,0.18175223655694187,0.06007106825917299,-0.43108447051956533,0.001056177594939391,0.455534879613514,0.24154550835603628,-0.0007404504202331104
RNA__AL139396.1,-0.09335384728203085,0.316523905769711,-0.20740132266588232,-0.05695388235797937,0.10163559465597391,0.11075683855357582,0.37541602110944455,-0.3125840494539405,-0.3133229237623731,0.006369876871474167
RNA__AL139407.1,0.06873403402669016,0.4751654879622821,-0.03786752878966903,-0.05077200777134718,0.2304031412264991,0.06573308427528433,0.10855864417060115,-0.7044921184651806,-0.610562056246853,0.0038044296242601434
RNA__AL139423.1,0.16334984672947755,0.2502521992096418,-0.19789287147491927,-0.770691200780781,0.12665408233944692,0.20944107529539485,0.564951369343201,0.07536983110455882,0.3486141830165075,-0.007938614523886221
RNA__AL157373.2,-0.03955921583957499,0.5644121440314198,0.1716599978723076,0.11404798178230804,-0.08262516650833941,-0.047238133572858054,0.2472402570261077,0.1447009785864041,0.5189199304860348,-0.0015715800730974657
RNA__AL157392.4,0.22016788480229507,0.07437402466836494,-0.12607208175210136,-0.17496006907956474,0.021408176843516136,-0.05630107252293766,-0.4819179649817403,0.2879788553366643,-0.18536711865694613,0.0003514717725591587
RNA__AL157394.1,0.24947204833159428,0.03587988187943129,0.02223112601824832,0.2202994953678617,-0.25554804687507193,0.02543232359141387,0.14803053972357563,-0.28722894756144807,-0.04268825786265944,-0.0038435475666830604
RNA__AL157700.1,0.24649668277839146,0.20366548287644462,-0.3211112837591797,-0.27283273189486007,-0.02611402203463632,0.4493449507089793,-0.49786179445443574,0.606592145309738,-0.04558899894575286,0.003102561963415627
RNA__AL157786.1,-0.21981474284954197,0.5107102942687478,-0.03212777391762892,0.021745856329534675,0.14455514392652494,-0.03877584520125372,-0.47454336989525847,0.007242310524204916,-0.16299065728074508,-0.005798979946339437
RNA__AL157838.1,-0.3122724076243425,0.30759777963743085,-0.04609415931215792,0.08952866500395683,0.07357080076193087,0.19308828753692497,0.29818376391014495,-0.5754316624616314,-0.8326423895013362,-0.002185493673698961
RNA__AL157871.2,0.09810204509896427,0.31864118747309284,0.32471370046238546,-0.10466549699275254,-0.012335571586810059,-0.37160398194676253,0.2627756726988739,-0.6984616651111948,-0.2702633943953157,-0.0005042512682297739
RNA__AL157871.3,0.15899580222050827,0.3286696104162769,0.09147445491502318,-0.08023333327271392,0.1464595817419483,-0.4001683913717296,0.19363094596286767,-0.6139391261365562,-0.03972860453127548,-0.0020009336261072545
RNA__AL157871.6,0.1045674984390295,-0.0535003948367535,-0.14865924412415996,-1.07289599158309,0.21069641157292426,0.30998700292581194,0.2205901768869735,0.5171507488883147,0.3367756914993903,-0.000503744804742607
RNA__AL157895.1,0.24515218676603623,0.2491486823245903,-0.12163906574100747,-0.23436012622632804,-0.31888948154807323,0.38622018033335015,0.23034434151775499,-0.05579714644618567,-0.029459218749929957,-0.001782984410702963
RNA__AL158050.1,0.17688829513275728,0.3383925613548471,0.18142211275352144,0.2900769835574256,0.2874321955214114,-0.059189506840593674,-0.47333089923314536,0.4067619227189026,0.5924624115143732,0.00019148829559968735
RNA__AL158071.2,0.20546908050914506,-0.0011507949068371775,-0.3121695200598483,-0.34620010439177545,0.22089787778260836,0.004194795572811198,-0.02434260932938288,0.03525663624375212,0.3387341945025302,0.0032379970003847125
RNA__AL158071.3,0.07780297083428124,0.05841707427460177,-0.05827008038114886,-0.014814606920730052,0.04249754730552496,0.06044605507981918,0.07360449424034832,-0.5370775084632917,-0.5588136619586808,-0.0017831879541705823
RNA__AL158152.1,0.22293251648891343,0.501173306187843,-0.20820013486464486,-0.3056723572057805,0.16755768278451105,-0.3041940042584845,-0.03493747029084442,0.014369211320194869,-0.4494973734666213,-0.006466435346031342
RNA__AL158152.2,0.2728238857570534,-0.020601854510784612,0.3999730501489262,-0.4514293096464037,-0.13140333500030008,-0.09498462374185261,0.2564390462911474,-0.004934016231296141,-0.058519756781891474,-0.003223719022519384
RNA__AL158163.1,0.1342735287048229,0.47527427316231863,-0.17514301882098068,-0.26968411152357347,-0.03268575536376694,-0.08210513616186586,0.022974581440581007,-0.24746470536921106,-0.8812654583055247,8.780835849710929e-05
RNA__AL158163.2,0.10304014156666005,0.31358208842133817,-0.29642380315804717,-0.22434860867817727,0.19622445792075977,-0.09296162762048506,0.0358033784924793,0.16157285520775544,-1.0600838387190978,-0.001143177659843041
